,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,misoginia,0,"(2645, 5)","(662, 5)",0.7900258993462412,0.790180102915952,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2645, 5)",0.7797513460664842,0.007898011247893208,0.766631876822432,0.7901671330095734,"[0.7844366599942808, 0.7768411268411268, 0.766631876822432, 0.7806799336650083, 0.7901671330095734]"
1,misoginia,1,"(2645, 5)","(662, 5)",0.7885119161714906,0.7939679817038308,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2645, 5)",0.7804817208629857,0.012232465316286504,0.7627249403448337,0.7939390690610203,"[0.7863130538605352, 0.7693094080640549, 0.7627249403448337, 0.7901221329844841, 0.7939390690610203]"
2,misoginia,2,"(2645, 5)","(662, 5)",0.7885119161714906,0.795854774156661,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2645, 5)",0.7828086533082944,0.010268237703797138,0.7692368202751796,0.7958346436433288,"[0.7863405497950152, 0.7692368202751796, 0.7724731182795699, 0.7901581345483785, 0.7958346436433288]"
3,misoginia,3,"(2645, 5)","(662, 5)",0.7960720422231502,0.795890508862207,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(2645, 5)",0.7793258976908151,0.01196253168045343,0.7636510506582028,0.7957178408993393,"[0.7806799336650083, 0.7636510506582028, 0.7683621902546874, 0.7882184729768373, 0.7957178408993393]"
4,misoginia,4,"(2645, 5)","(662, 5)",0.7960720422231502,0.7939965694682676,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2645, 5)",0.7808711347361053,0.00956713614611347,0.7684752037653542,0.7938447677307944,"[0.7844366599942808, 0.7712371115598364, 0.7684752037653542, 0.7863619306302603, 0.7938447677307944]"
5,misoginia,5,"(2645, 5)","(662, 5)",0.7960720422231502,0.7958833619210979,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(2645, 5)",0.7797454504020671,0.010727387021484045,0.7655275950814984,0.7957528957528958,"[0.78446131411906, 0.7655275950814984, 0.7704264804513354, 0.7825589666055466, 0.7957528957528958]"
6,misoginia,6,"(2645, 5)","(662, 5)",0.7990895295902882,0.795890508862207,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2645, 5)",0.7781950772214341,0.012684679546345076,0.7636747020246243,0.7957178408993393,"[0.7787995210950482, 0.7636747020246243, 0.7645648491113217, 0.7882184729768373, 0.7957178408993393]"
7,misoginia,7,"(2645, 5)","(662, 5)",0.7854808675332262,0.7920740423098913,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2645, 5)",0.7801799606115355,0.01020438366053832,0.7668325825906535,0.792053803710798,"[0.7882426945731114, 0.7693094080640549, 0.7668325825906535, 0.78446131411906, 0.792053803710798]"
8,misoginia,8,"(2645, 5)","(662, 5)",0.797583081570997,0.7996640937678674,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2645, 5)",0.7823993009500565,0.009266822440937633,0.7722706922282172,0.7995352495352497,"[0.7825807258626543, 0.7768985532109567, 0.7722706922282172, 0.7807112839132051, 0.7995352495352497]"
9,misoginia,9,"(2645, 5)","(662, 5)",0.7915388828039431,0.7958762149799886,"['davincis22', 'exist21', 'meoffendes21']",9,"(2645, 5)",0.7801638756578113,0.012786141097164888,0.7617730313947504,0.7957820989419503,"[0.7863405497950152, 0.7617730313947504, 0.7686810035842293, 0.7882426945731114, 0.7957820989419503]"
